Ain't No Sunshine Single Version,Bill Withers
Dream,Imagine Dragons
Люби,Dan Balan
Planet Caravan 2009 Remastered Version,Black Sabbath
Wonderful Life,Katie Melua
Cold Little Heart Radio Edit,Michael Kiwanuka
Intro,The xx
Radioactive,Imagine Dragons
Whatever It Takes,Imagine Dragons
Steam Stove,Ladyface
Every Breath You Take Remastered,The Police
Lonely,Imagine Dragons
Say It To Me Now,Glen Hansard
When Your Mind's Made Up,"Glen Hansard, Marketa Irglova"
Fallen From The Sky,Glen Hansard
Resurection (Robot's Outro),PPK
Ambitionz Az A Ridah,2Pac
La valse d'Amélie (Version orchestre),Yann Tiersen
"Comptine D'un Autre Été, L'après-Midi",Yann Tiersen
The Chain Remastered,Fleetwood Mac
Lil' Homies,2Pac
your favorite dress,"Lil Peep, lil tracy"
Runnin,"21 Savage, Metro Boomin"
Forever Young,Alphaville
Tiersen: Comptine d’un autre été: L’après-midi,"Music Lab Collective, Valentina Lisitsa"
Kel Yashaylik Birga,Tohir Sodiqov
Going The Distance,Bill Conti
Why Does My Heart Feel so Bad?,Moby
"Porcelain from ""The Beach""",Moby
Flower,Moby
Natural Blues,Moby
Когда твоя девушка больна,КИНО
Нам с тобой,КИНО
Печаль,КИНО
Пачка сигарет,КИНО
Место для шага вперёд,КИНО
Звезда по имени Солнце,КИНО
Кукушка,КИНО
Meni Qo'y O'z Holimga,Tohir Sodiqov
Hayolim Senda,Tohir Sodiqov
Unutganim Yo'q,Tohir Sodiqov
Shh,Biig Piig
Ko'zing Mayus,Tohir Sodiqov
Солдат,Lyube
Ты неси меня река,Lyube
Gulbadan,Sherali Jo'rayev
Freaks,Surf Curse
Любовь и боль,Ваграм Вазян
There Is a Light That Never Goes Out,The Smiths
My Father's Son,Joe Cocker
#1,Imagine Dragons
sugar,"anatu, Zubi"
It Was A Good Day,Ice Cube
Shape Of My Heart My Songs Version,Sting
Кончится лето,КИНО
